type,price,datetime,prev_candle_idx,curr_candle_idx,prev_high,curr_high,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,19576.4,2023-10-09 11:00:00,423,424,19575.6,19576.4,19575.5,19558.2,0.09296908522507062,25,7,70.19,Very Strong
resistance,24674.65,2025-09-26 14:45:00,1764,1765,24668.1,24674.65,24661.1,24650.6,0.09746845446643786,36,3,70.19,Very Strong
resistance,19828.45,2023-10-11 15:00:00,491,492,19828.45,19827.2,19823.1,19809.85,0.09380460903400005,49,5,70.19,Very Strong
resistance,19717.1,2023-10-10 14:30:00,463,464,19717.1,19714.55,19714.6,19698.25,0.09560229445505955,27,7,70.19,Very Strong
resistance,25004.05,2025-09-25 13:45:00,1734,1735,24993.3,25004.05,24992.9,24980.0,0.09618441812426096,11,6,70.19,Very Strong
resistance,17693.35,2023-04-17 12:30:00,221,222,17683.85,17693.35,17682.6,17677.8,0.08788612670861806,22,6,70.18,Very Strong
resistance,25229.4,2025-10-13 10:30:00,2007,2008,25209.5,25229.4,25206.3,25206.2,0.09195620981870646,17,3,70.18,Very Strong
resistance,17779.4,2023-04-12 09:30:00,157,158,17775.4,17779.4,17763.7,17763.75,0.0880232178813765,23,4,70.18,Very Strong
resistance,23316.0,2025-04-15 11:00:00,1671,1672,23315.1,23316.0,23309.55,23295.15,0.08942357179618521,11,4,70.18,Very Strong
resistance,17703.5,2023-04-17 14:30:00,229,230,17697.2,17703.5,17694.3,17687.75,0.08896545880758042,15,5,70.18,Very Strong
resistance,23298.9,2025-04-02 14:00:00,1501,1502,23290.15,23298.9,23287.65,23278.3,0.08841619132234647,23,5,70.18,Very Strong
resistance,23285.1,2025-04-02 10:30:00,1487,1488,23268.95,23285.1,23267.35,23264.6,0.0880391323206686,35,6,70.18,Very Strong
resistance,17652.05,2023-04-19 11:15:00,268,269,17652.05,17650.6,17649.6,17635.9,0.09149079002154321,18,5,70.18,Very Strong
resistance,23300.0,2025-04-02 12:15:00,1494,1495,23285.85,23300.0,23281.45,23278.8,0.09098712446352243,31,4,70.18,Very Strong
resistance,23294.75,2025-04-03 12:00:00,1519,1520,23294.75,23292.4,23289.75,23273.5,0.09122227111258975,14,7,70.18,Very Strong
resistance,17696.35,2023-04-18 10:45:00,240,241,17694.3,17696.35,17693.45,17680.4,0.09013158080619502,10,6,70.18,Very Strong
resistance,22209.05,2024-04-16 11:15:00,970,971,22201.05,22209.05,22201.05,22189.3,0.08892771190122946,9,4,70.18,Very Strong
